sale_id,org_code,amount
217,ORG007,29.25
218,ORG008,66.25
219,ORG009,103.25
220,ORG010,140.25
221,ORG001,177.25
222,ORG002,214.25
223,ORG003,251.25
224,ORG004,288.25
225,ORG005,325.25
226,ORG006,362.25
227,ORG007,399.25
228,ORG008,436.25
229,ORG009,473.25
230,ORG010,510.25
231,ORG001,547.25
232,ORG002,584.25
233,ORG003,621.25
234,ORG004,658.25
235,ORG005,695.25
236,ORG006,732.25
237,ORG007,769.25
238,ORG008,806.25
239,ORG009,843.25
240,ORG010,880.25
241,ORG001,917.25
242,ORG002,954.25
243,ORG003,991.25
244,ORG004,28.25
245,ORG005,65.25
246,ORG006,102.25
247,ORG007,139.25
248,ORG008,176.25
249,ORG009,213.25
250,ORG010,250.25
251,ORG001,287.25
252,ORG002,324.25
253,ORG003,361.25
254,ORG004,398.25
255,ORG005,435.25
256,ORG006,472.25
257,ORG007,509.25
258,ORG008,546.25
259,ORG009,583.25
260,ORG010,620.25
261,ORG001,657.25
262,ORG002,694.25
263,ORG003,731.25
264,ORG004,768.25
265,ORG005,805.25
266,ORG006,842.25
267,ORG007,879.25
268,ORG008,916.25
269,ORG009,953.25
270,ORG010,990.25
271,ORG001,27.25
272,ORG002,64.25
273,ORG003,101.25
274,ORG004,138.25
275,ORG005,175.25
276,ORG006,212.25
277,ORG007,249.25
278,ORG008,286.25
279,ORG009,323.25
280,ORG010,360.25
281,ORG001,397.25
282,ORG002,434.25
283,ORG003,471.25
284,ORG004,508.25
285,ORG005,545.25
286,ORG006,582.25
287,ORG007,619.25
288,ORG008,656.25
289,ORG009,693.25
290,ORG010,730.25
291,ORG001,767.25
292,ORG002,804.25
293,ORG003,841.25
294,ORG004,878.25
295,ORG005,915.25
296,ORG006,952.25
297,ORG007,989.25
298,ORG008,26.25
299,ORG009,63.25
300,ORG010,100.25
301,ORG001,137.25
302,ORG002,174.25
303,ORG003,211.25
304,ORG004,248.25
305,ORG005,285.25
306,ORG006,322.25
307,ORG007,359.25
308,ORG008,396.25
309,ORG009,433.25
310,ORG010,470.25
311,ORG001,507.25
312,ORG002,544.25
313,ORG003,581.25
314,ORG004,618.25
315,ORG005,655.25
316,ORG006,692.25
317,ORG007,729.25
318,ORG008,766.25
319,ORG009,803.25
320,ORG010,840.25
321,ORG001,877.25
322,ORG002,914.25
323,ORG003,951.25
324,ORG004,988.25
325,ORG005,25.25
326,ORG006,62.25
327,ORG007,99.25
328,ORG008,136.25
329,ORG009,173.25
330,ORG010,210.25
331,ORG001,247.25
332,ORG002,284.25
333,ORG003,321.25
334,ORG004,358.25
335,ORG005,395.25
336,ORG006,432.25
337,ORG007,469.25
338,ORG008,506.25
339,ORG009,543.25
340,ORG010,580.25
341,ORG001,617.25
342,ORG002,654.25
343,ORG003,691.25
344,ORG004,728.25
345,ORG005,765.25
346,ORG006,802.25
347,ORG007,839.25
348,ORG008,876.25
349,ORG009,913.25
350,ORG010,950.25
351,ORG001,987.25
352,ORG002,24.25
353,ORG003,61.25
354,ORG004,98.25
355,ORG005,135.25
356,ORG006,172.25
357,ORG007,209.25
358,ORG008,246.25
359,ORG009,283.25
360,ORG010,320.25
361,ORG001,357.25
362,ORG002,394.25
363,ORG003,431.25
364,ORG004,468.25
365,ORG005,505.25
366,ORG006,542.25
367,ORG007,579.25
368,ORG008,616.25
369,ORG009,653.25
370,ORG010,690.25
371,ORG001,727.25
372,ORG002,764.25
373,ORG003,801.25
374,ORG004,838.25
375,ORG005,875.25
376,ORG006,912.25
377,ORG007,949.25
378,ORG008,986.25
379,ORG009,23.25
380,ORG010,60.25
381,ORG001,97.25
382,ORG002,134.25
383,ORG003,171.25
384,ORG004,208.25
385,ORG005,245.25
386,ORG006,282.25
387,ORG007,319.25
388,ORG008,356.25
389,ORG009,393.25
390,ORG010,430.25
391,ORG001,467.25
392,ORG002,504.25
393,ORG003,541.25
394,ORG004,578.25
395,ORG005,615.25
396,ORG006,652.25
397,ORG007,689.25
398,ORG008,726.25
399,ORG009,763.25
400,ORG010,800.25
401,ORG001,837.25
402,ORG002,874.25
403,ORG003,911.25
404,ORG004,948.25
405,ORG005,985.25
406,ORG006,22.25
407,ORG007,59.25
408,ORG008,96.25
409,ORG009,133.25
410,ORG010,170.25
411,ORG001,207.25
412,ORG002,244.25
413,ORG003,281.25
414,ORG004,318.25
415,ORG005,355.25
416,ORG006,392.25
417,ORG007,429.25
418,ORG008,466.25
419,ORG009,503.25
420,ORG010,540.25
421,ORG001,577.25
422,ORG002,614.25
423,ORG003,651.25
424,ORG004,688.25
425,ORG005,725.25
426,ORG006,762.25
427,ORG007,799.25
428,ORG008,836.25
429,ORG009,873.25
430,ORG010,910.25
431,ORG001,947.25
432,ORG002,984.25
433,ORG003,21.25
434,ORG004,58.25
435,ORG005,95.25
436,ORG006,132.25
437,ORG007,169.25
438,ORG008,206.25
439,ORG009,243.25
440,ORG010,280.25
441,ORG001,317.25
442,ORG002,354.25
443,ORG003,391.25
444,ORG004,428.25
445,ORG005,465.25
446,ORG006,502.25
447,ORG007,539.25
448,ORG008,576.25
449,ORG009,613.25
450,ORG010,650.25
451,ORG001,687.25
452,ORG002,724.25
453,ORG003,761.25
454,ORG004,798.25
455,ORG005,835.25
456,ORG006,872.25
457,ORG007,909.25
458,ORG008,946.25
459,ORG009,983.25
460,ORG010,20.25
461,ORG001,57.25
462,ORG002,94.25
463,ORG003,131.25
464,ORG004,168.25
465,ORG005,205.25
466,ORG006,242.25
467,ORG007,279.25
468,ORG008,316.25
469,ORG009,353.25
470,ORG010,390.25
471,ORG001,427.25
472,ORG002,464.25
473,ORG003,501.25
474,ORG004,538.25
475,ORG005,575.25
476,ORG006,612.25
477,ORG007,649.25
478,ORG008,686.25
479,ORG009,723.25
480,ORG010,760.25
481,ORG001,797.25
482,ORG002,834.25
483,ORG003,871.25
484,ORG004,908.25
485,ORG005,945.25
486,ORG006,982.25
487,ORG007,19.25
488,ORG008,56.25
489,ORG009,93.25
490,ORG010,130.25
491,ORG001,167.25
492,ORG002,204.25
493,ORG003,241.25
494,ORG004,278.25
495,ORG005,315.25
496,ORG006,352.25
497,ORG007,389.25
498,ORG008,426.25
499,ORG009,463.25
500,ORG010,500.25
501,ORG001,537.25
502,ORG002,574.25
503,ORG003,611.25
504,ORG004,648.25
505,ORG005,685.25
506,ORG006,722.25
507,ORG007,759.25
508,ORG008,796.25
509,ORG009,833.25
510,ORG010,870.25
511,ORG001,907.25
512,ORG002,944.25
513,ORG003,981.25
514,ORG004,18.25
515,ORG005,55.25
516,ORG006,92.25
517,ORG007,129.25
518,ORG008,166.25
519,ORG009,203.25
520,ORG010,240.25
521,ORG001,277.25
522,ORG002,314.25
523,ORG003,351.25
524,ORG004,388.25
525,ORG005,425.25
526,ORG006,462.25
527,ORG007,499.25
528,ORG008,536.25
529,ORG009,573.25
530,ORG010,610.25
531,ORG001,647.25
532,ORG002,684.25
533,ORG003,721.25
534,ORG004,758.25
535,ORG005,795.25
536,ORG006,832.25
537,ORG007,869.25
538,ORG008,906.25
539,ORG009,943.25
540,ORG010,980.25
541,ORG001,17.25
542,ORG002,54.25
543,ORG003,91.25
544,ORG004,128.25
545,ORG005,165.25
546,ORG006,202.25
547,ORG007,239.25
548,ORG008,276.25
549,ORG009,313.25
550,ORG010,350.25
551,ORG001,387.25
552,ORG002,424.25
553,ORG003,461.25
554,ORG004,498.25
555,ORG005,535.25
556,ORG006,572.25
557,ORG007,609.25
558,ORG008,646.25
559,ORG009,683.25
560,ORG010,720.25
561,ORG001,757.25
562,ORG002,794.25
563,ORG003,831.25
564,ORG004,868.25
565,ORG005,905.25
566,ORG006,942.25
567,ORG007,979.25
568,ORG008,16.25
569,ORG009,53.25
570,ORG010,90.25
571,ORG001,127.25
572,ORG002,164.25
573,ORG003,201.25
574,ORG004,238.25
575,ORG005,275.25
576,ORG006,312.25
577,ORG007,349.25
578,ORG008,386.25
579,ORG009,423.25
580,ORG010,460.25
581,ORG001,497.25
582,ORG002,534.25
583,ORG003,571.25
584,ORG004,608.25
585,ORG005,645.25
586,ORG006,682.25
587,ORG007,719.25
588,ORG008,756.25
589,ORG009,793.25
590,ORG010,830.25
591,ORG001,867.25
592,ORG002,904.25
593,ORG003,941.25
594,ORG004,978.25
595,ORG005,15.25
596,ORG006,52.25
597,ORG007,89.25
598,ORG008,126.25
599,ORG009,163.25
600,ORG010,200.25
601,ORG001,237.25
602,ORG002,274.25
603,ORG003,311.25
604,ORG004,348.25
605,ORG005,385.25
606,ORG006,422.25
607,ORG007,459.25
608,ORG008,496.25
609,ORG009,533.25
610,ORG010,570.25
611,ORG001,607.25
612,ORG002,644.25
613,ORG003,681.25
614,ORG004,718.25
615,ORG005,755.25
616,ORG006,792.25
617,ORG007,829.25
618,ORG008,866.25
619,ORG009,903.25
620,ORG010,940.25
621,ORG001,977.25
622,ORG002,14.25
623,ORG003,51.25
624,ORG004,88.25
625,ORG005,125.25
626,ORG006,162.25
627,ORG007,199.25
628,ORG008,236.25
629,ORG009,273.25
630,ORG010,310.25
631,ORG001,347.25
632,ORG002,384.25
633,ORG003,421.25
634,ORG004,458.25
635,ORG005,495.25
636,ORG006,532.25
637,ORG007,569.25
638,ORG008,606.25
639,ORG009,643.25
640,ORG010,680.25
641,ORG001,717.25
642,ORG002,754.25
643,ORG003,791.25
644,ORG004,828.25
645,ORG005,865.25
646,ORG006,902.25
647,ORG007,939.25
648,ORG008,976.25
649,ORG009,13.25
650,ORG010,50.25
651,ORG001,87.25
652,ORG002,124.25
653,ORG003,161.25
654,ORG004,198.25
655,ORG005,235.25
656,ORG006,272.25
657,ORG007,309.25
658,ORG008,346.25
659,ORG009,383.25
660,ORG010,420.25
661,ORG001,457.25
662,ORG002,494.25
663,ORG003,531.25
664,ORG004,568.25
665,ORG005,605.25
666,ORG006,642.25
667,ORG007,679.25
668,ORG008,716.25
669,ORG009,753.25
670,ORG010,790.25
671,ORG001,827.25
672,ORG002,864.25
673,ORG003,901.25
674,ORG004,938.25
675,ORG005,975.25
676,ORG006,12.25
677,ORG007,49.25
678,ORG008,86.25
679,ORG009,123.25
680,ORG010,160.25
681,ORG001,197.25
682,ORG002,234.25
683,ORG003,271.25
684,ORG004,308.25
685,ORG005,345.25
686,ORG006,382.25
687,ORG007,419.25
688,ORG008,456.25
689,ORG009,493.25
690,ORG010,530.25
691,ORG001,567.25
692,ORG002,604.25
693,ORG003,641.25
694,ORG004,678.25
695,ORG005,715.25
696,ORG006,752.25
697,ORG007,789.25
698,ORG008,826.25
699,ORG009,863.25
700,ORG010,900.25
701,ORG001,937.25
702,ORG002,974.25
703,ORG003,11.25
704,ORG004,48.25
705,ORG005,85.25
706,ORG006,122.25
707,ORG007,159.25
708,ORG008,196.25
709,ORG009,233.25
710,ORG010,270.25
711,ORG001,307.25
712,ORG002,344.25
713,ORG003,381.25
714,ORG004,418.25
715,ORG005,455.25
716,ORG006,492.25
717,ORG007,529.25
718,ORG008,566.25
719,ORG009,603.25
720,ORG010,640.25
721,ORG001,677.25
722,ORG002,714.25
723,ORG003,751.25
724,ORG004,788.25
725,ORG005,825.25
726,ORG006,862.25
727,ORG007,899.25
728,ORG008,936.25
729,ORG009,973.25
730,ORG010,10.25
731,ORG001,47.25
732,ORG002,84.25
733,ORG003,121.25
734,ORG004,158.25
735,ORG005,195.25
736,ORG006,232.25
737,ORG007,269.25
738,ORG008,306.25
739,ORG009,343.25
740,ORG010,380.25
741,ORG001,417.25
742,ORG002,454.25
743,ORG003,491.25
744,ORG004,528.25
745,ORG005,565.25
746,ORG006,602.25
747,ORG007,639.25
748,ORG008,676.25
749,ORG009,713.25
750,ORG010,750.25
751,ORG001,787.25
752,ORG002,824.25
753,ORG003,861.25
754,ORG004,898.25
755,ORG005,935.25
756,ORG006,972.25
757,ORG007,9.25
758,ORG008,46.25
759,ORG009,83.25
760,ORG010,120.25
761,ORG001,157.25
762,ORG002,194.25
763,ORG003,231.25
764,ORG004,268.25
765,ORG005,305.25
766,ORG006,342.25
767,ORG007,379.25
768,ORG008,416.25
769,ORG009,453.25
770,ORG010,490.25
771,ORG001,527.25
772,ORG002,564.25
773,ORG003,601.25
774,ORG004,638.25
775,ORG005,675.25
776,ORG006,712.25
777,ORG007,749.25
778,ORG008,786.25
779,ORG009,823.25
780,ORG010,860.25
781,ORG001,897.25
782,ORG002,934.25
783,ORG003,971.25
784,ORG004,8.25
785,ORG005,45.25
786,ORG006,82.25
787,ORG007,119.25
788,ORG008,156.25
789,ORG009,193.25
790,ORG010,230.25
791,ORG001,267.25
792,ORG002,304.25
793,ORG003,341.25
794,ORG004,378.25
795,ORG005,415.25
796,ORG006,452.25
797,ORG007,489.25
798,ORG008,526.25
799,ORG009,563.25
800,ORG010,600.25
801,ORG001,637.25
802,ORG002,674.25
803,ORG003,711.25
804,ORG004,748.25
805,ORG005,785.25
806,ORG006,822.25
807,ORG007,859.25
808,ORG008,896.25
809,ORG009,933.25
810,ORG010,970.25
811,ORG001,7.25
812,ORG002,44.25
813,ORG003,81.25
814,ORG004,118.25
815,ORG005,155.25
816,ORG006,192.25
817,ORG007,229.25
818,ORG008,266.25
819,ORG009,303.25
820,ORG010,340.25
821,ORG001,377.25
822,ORG002,414.25
823,ORG003,451.25
824,ORG004,488.25
825,ORG005,525.25
826,ORG006,562.25
827,ORG007,599.25
828,ORG008,636.25
829,ORG009,673.25
830,ORG010,710.25
831,ORG001,747.25
832,ORG002,784.25
833,ORG003,821.25
834,ORG004,858.25
835,ORG005,895.25
836,ORG006,932.25
837,ORG007,969.25
838,ORG008,6.25
839,ORG009,43.25
840,ORG010,80.25
841,ORG001,117.25
842,ORG002,154.25
843,ORG003,191.25
844,ORG004,228.25
845,ORG005,265.25
846,ORG006,302.25
847,ORG007,339.25
848,ORG008,376.25
849,ORG009,413.25
850,ORG010,450.25
851,ORG001,487.25
852,ORG002,524.25
853,ORG003,561.25
854,ORG004,598.25
855,ORG005,635.25
856,ORG006,672.25
857,ORG007,709.25
858,ORG008,746.25
859,ORG009,783.25
860,ORG010,820.25
861,ORG001,857.25
862,ORG002,894.25
863,ORG003,931.25
864,ORG004,968.25
865,ORG005,5.25
866,ORG006,42.25
867,ORG007,79.25
868,ORG008,116.25
869,ORG009,153.25
870,ORG010,190.25
871,ORG001,227.25
872,ORG002,264.25
873,ORG003,301.25
874,ORG004,338.25
875,ORG005,375.25
876,ORG006,412.25
877,ORG007,449.25
878,ORG008,486.25
879,ORG009,523.25
880,ORG010,560.25
881,ORG001,597.25
882,ORG002,634.25
883,ORG003,671.25
884,ORG004,708.25
885,ORG005,745.25
886,ORG006,782.25
887,ORG007,819.25
888,ORG008,856.25
889,ORG009,893.25
890,ORG010,930.25
891,ORG001,967.25
892,ORG002,4.25
893,ORG003,41.25
894,ORG004,78.25
895,ORG005,115.25
896,ORG006,152.25
897,ORG007,189.25
898,ORG008,226.25
899,ORG009,263.25
900,ORG010,300.25
901,ORG001,337.25
902,ORG002,374.25
903,ORG003,411.25
904,ORG004,448.25
905,ORG005,485.25
906,ORG006,522.25
907,ORG007,559.25
908,ORG008,596.25
909,ORG009,633.25
910,ORG010,670.25
911,ORG001,707.25
912,ORG002,744.25
913,ORG003,781.25
914,ORG004,818.25
915,ORG005,855.25
916,ORG006,892.25
917,ORG007,929.25
918,ORG008,966.25
919,ORG009,3.25
920,ORG010,40.25
921,ORG001,77.25
922,ORG002,114.25
923,ORG003,151.25
924,ORG004,188.25
925,ORG005,225.25
926,ORG006,262.25
927,ORG007,299.25
928,ORG008,336.25
929,ORG009,373.25
930,ORG010,410.25
931,ORG001,447.25
932,ORG002,484.25
933,ORG003,521.25
934,ORG004,558.25
935,ORG005,595.25
936,ORG006,632.25
937,ORG007,669.25
938,ORG008,706.25
939,ORG009,743.25
940,ORG010,780.25
941,ORG001,817.25
942,ORG002,854.25
943,ORG003,891.25
944,ORG004,928.25
945,ORG005,965.25
946,ORG006,2.25
947,ORG007,39.25
948,ORG008,76.25
949,ORG009,113.25
950,ORG010,150.25
951,ORG001,187.25
952,ORG002,224.25
953,ORG003,261.25
954,ORG004,298.25
955,ORG005,335.25
956,ORG006,372.25
957,ORG007,409.25
958,ORG008,446.25
959,ORG009,483.25
960,ORG010,520.25
961,ORG001,557.25
962,ORG002,594.25
963,ORG003,631.25
964,ORG004,668.25
965,ORG005,705.25
966,ORG006,742.25
967,ORG007,779.25
968,ORG008,816.25
969,ORG009,853.25
970,ORG010,890.25
971,ORG001,927.25
972,ORG002,964.25
973,ORG003,1.25
974,ORG004,38.25
975,ORG005,75.25
976,ORG006,112.25
977,ORG007,149.25
978,ORG008,186.25
979,ORG009,223.25
980,ORG010,260.25
981,ORG001,297.25
982,ORG002,334.25
983,ORG003,371.25
984,ORG004,408.25
985,ORG005,445.25
986,ORG006,482.25
987,ORG007,519.25
988,ORG008,556.25
989,ORG009,593.25
990,ORG010,630.25
991,ORG001,667.25
992,ORG002,704.25
993,ORG003,741.25
994,ORG004,778.25
995,ORG005,815.25
996,ORG006,852.25
997,ORG007,889.25
998,ORG008,926.25
999,ORG009,963.25
1000,ORG010,0.25
